Date,Symbol,Signal,Cause,EntryTime,ExitTime,LeaveCause,PnL,Return%,Duration,EntryPrice,Group,GRank,MRank,RRank,M1Symbol
20260107,2303,SignalA,StrongGroup,09:32:50,10:01:44,takeProfit,170455,1.70,0h28m54s,52.8,專業IC代工,1,1,1,
20260107,2485,SignalA,StrongGroup,09:42:09,10:05:52,stopLoss,-135135,-1.35,0h23m43s,25.9,低軌衛星,14,1,2,
20260107,6104,SignalA,StrongGroup,09:47:29,10:14:48,takeProfit,73762,0.74,0h27m19s,94.8,IC設計,16,1,1,
20260107,1605,SignalA,StrongGroup,09:25:18,10:33:57,takeProfit,104439,1.04,1h08m39s,38.3,電線電纜,2,1,1,
20260107,1608,SignalA,StrongGroup,09:52:35,11:22:16,takeProfit,25381,0.25,1h29m41s,39.4,電線電纜,2,2,2,
20260107,2495,SignalA,StrongGroup,10:32:43,12:04:07,takeProfit,91603,0.92,1h31m24s,32.8,記憶體,5,1,1,
20260107,2455,SignalA,StrongGroup,10:32:34,12:27:58,stopLoss,-158730,-1.59,1h55m24s,157.5,砷化鎵,2,1,1,
20260107,5483,SignalA,StrongGroup,11:12:18,13:20:10,timeExit,-24291,-0.24,2h07m52s,123.5,太陽能,1,2,3,
20260108,3491,SignalA,StrongGroup,09:25:41,09:31:08,stopLoss,-140485,-1.40,0h05m27s,783.0,低軌衛星,7,1,2,
20260108,6223,SignalA,StrongGroup,09:31:08,09:34:58,stopLoss,-103139,-1.03,0h03m50s,2230.0,探針卡,8,1,1,
20260108,1326,SignalA,StrongGroup,09:20:20,09:37:34,stopLoss,-147059,-1.47,0h17m14s,34.0,塑膠,1,1,2,
20260108,1802,SignalA,StrongGroup,09:47:52,09:52:34,stopLoss,-147849,-1.48,0h04m42s,37.2,玻纖布,3,2,3,
20260108,5274,SignalA,StrongGroup,09:51:27,10:47:49,stopLoss,-206186,-2.06,0h56m22s,7725.0,IC設計,4,2,5,
20260108,2404,SignalA,StrongGroup,11:04:30,11:49:23,stopLoss,-144928,-1.45,0h44m53s,1035.0,廠務,3,2,2,
20260112,3037,SignalA,StrongGroup,09:21:32,09:35:16,stopLoss,-112266,-1.12,0h13m44s,240.5,ABF,1,1,1,
20260112,2495,SignalA,StrongGroup,09:31:08,09:35:30,takeProfit,90498,0.90,0h04m22s,33.1,網路通訊,9,1,2,
20260112,3693,SignalA,StrongGroup,09:33:18,09:35:40,stopLoss,-134048,-1.34,0h02m22s,373.0,機殼,16,1,1,
20260112,3037,SignalA,StrongGroup,09:37:27,09:41:27,takeProfit,62370,0.62,0h04m00s,240.5,ABF,1,1,1,
20260112,3167,SignalA,StrongGroup,09:39:12,10:05:33,takeProfit,152838,1.53,0h26m21s,229.0,鑽孔,7,1,2,
20260112,5483,SignalA,StrongGroup,09:35:57,10:24:45,stopLoss,-41841,-0.42,0h48m48s,119.5,太陽能,1,2,2,
20260112,3491,SignalA,StrongGroup,09:49:56,10:25:09,stopLoss,-146520,-1.47,0h35m13s,819.0,低軌衛星,1,2,3,
20260112,6285,SignalA,StrongGroup,10:02:47,11:08:18,takeProfit,138889,1.39,1h05m31s,108.0,低軌衛星,1,2,4,
20260112,3491,SignalA,StrongGroup,10:42:34,11:36:46,stopLoss,-134474,-1.34,0h54m12s,818.0,低軌衛星,1,2,3,
20260112,5347,SignalA,StrongGroup,09:27:45,13:20:02,timeExit,206897,2.07,3h52m17s,116.0,專業IC代工,1,1,1,
20260113,3167,SignalA,StrongGroup,09:29:16,09:30:08,takeProfit,62241,0.62,0h00m52s,241.0,鑽孔,5,1,1,
20260113,8150,SignalA,StrongGroup,09:29:46,09:35:38,stopLoss,-145161,-1.45,0h05m52s,62.0,記憶體,4,2,5,
20260113,6739,SignalA,StrongGroup,09:30:02,09:36:49,takeProfit,80107,0.80,0h06m47s,749.0,設備儀器商,5,2,3,
20260113,6282,SignalA,StrongGroup,09:30:56,09:39:18,stopLoss,-157171,-1.57,0h08m22s,50.9,電供,11,1,1,
20260113,6196,SignalA,StrongGroup,09:36:27,09:42:33,stopLoss,-154374,-1.54,0h06m06s,291.5,半導體設備,5,1,2,
20260113,4973,SignalA,StrongGroup,09:41:51,09:42:35,stopLoss,-153551,-1.54,0h00m44s,52.1,記憶體,4,1,5,
20260113,3037,SignalA,StrongGroup,09:34:57,10:07:39,stopLoss,-3937,-0.04,0h32m42s,254.0,ABF,4,1,1,
20260113,8210,SignalA,StrongGroup,09:43:58,10:07:57,stopLoss,-156576,-1.57,0h23m59s,957.0,機殼,9,1,1,
20260113,3167,SignalA,StrongGroup,09:46:35,10:37:01,takeProfit,103520,1.04,0h50m26s,241.5,鑽孔,5,1,1,
20260113,6683,SignalA,StrongGroup,10:19:06,11:58:00,stopLoss,-134639,-1.35,1h38m54s,408.5,探針卡,9,1,1,
20260113,3167,SignalA,StrongGroup,11:07:18,13:20:00,timeExit,-8230,-0.08,2h12m42s,243.0,鑽孔,5,1,1,
20260113,8046,SignalA,StrongGroup,10:25:13,13:20:00,timeExit,18657,0.19,2h54m47s,268.0,ABF,2,1,1,
20260114,1519,SignalA,StrongGroup,09:29:06,09:33:06,takeProfit,70175,0.70,0h04m00s,855.0,重電,1,1,1,
20260114,3402,SignalA,StrongGroup,10:13:37,10:25:36,takeProfit,102389,1.02,0h11m59s,146.0,廠務,9,1,3,
