00881 ,國泰台灣科技龍頭,T,31.04,34.14,27.94,00,  ,0
00882 ,中信中國高股息  ,T,15.45,9999.95,0.01,00,  ,0
00885 ,富邦越南        ,T,16.88,9999.95,0.01,00,  ,0
00891 ,中信關鍵半導體  ,T,18.97,20.86,17.08,00,  ,0
00892 ,富邦台灣半導體  ,T,21.10,23.21,18.99,00,  ,0
00893 ,國泰智能電動車  ,T,31.42,9999.95,0.01,00,  ,0
00894 ,中信小資高價30  ,T,26.19,28.80,23.58,00,  ,0
00895 ,富邦未來車      ,T,37.66,9999.95,0.01,00,  ,0
00896 ,中信綠能及電動車,T,19.30,21.23,17.37,00,  ,0
00897 ,富邦基因免疫生技,T,9.06,9999.95,0.01,00,  ,0
00898 ,國泰基因免疫革命,T,7.97,9999.95,0.01,00,  ,0
00899 ,FT潔淨能源      ,T,20.13,9999.95,0.01,00,  ,0
00900 ,富邦特選高股息30,T,13.23,14.55,11.91,00,  ,0
00901 ,永豐智能車供應鏈,T,23.88,26.26,21.50,00,  ,0
00902 ,中信電池及儲能  ,T,13.26,9999.95,0.01,00,  ,0
00903 ,富邦元宇宙      ,T,17.22,9999.95,0.01,00,  ,0
00904 ,新光臺灣半導體30,T,21.41,23.55,19.27,00,  ,0
00905 ,FT臺灣Smart     ,T,16.65,18.31,14.99,00,  ,0
00907 ,永豐優息存股    ,T,15.26,16.78,13.74,00,  ,0
00908 ,富邦入息REITs+  ,T,13.76,9999.95,0.01,00,  ,0
00909 ,國泰數位支付服務,T,42.22,9999.95,0.01,00,  ,0
00910 ,第一金太空衛星  ,T,37.68,9999.95,0.01,00,  ,0
00911 ,兆豐洲際半導體  ,T,31.60,9999.95,0.01,00,  ,0
00912 ,中信臺灣智慧50  ,T,20.69,22.75,18.63,00,  ,0
00913 ,兆豐台灣晶圓製造,T,23.65,26.01,21.29,00,  ,0
00915 ,凱基優選高股息30,T,22.19,24.40,19.98,00,  ,0
00916 ,國泰全球品牌50  ,T,26.97,9999.95,0.01,00,  ,0
00917 ,中信特選金融    ,T,24.07,9999.95,0.01,00,  ,0
00918 ,大華優利高填息30,T,22.59,24.84,20.34,00,  ,0
00919 ,群益台灣精選高息,T,21.54,23.69,19.39,00,  ,0
00920 ,富邦ESG綠色電力 ,T,18.15,9999.95,0.01,00,  ,0
00921 ,兆豐龍頭等權重  ,T,17.51,19.26,15.76,00,  ,0
00922 ,國泰台灣領袖50  ,T,24.62,27.08,22.16,00,  ,0
00923 ,群益台ESG低碳50 ,T,24.84,27.32,22.36,00,  ,0
00924 ,復華S&P500成長  ,T,29.05,9999.95,0.01,00,  ,0
00926 ,凱基全球菁英55  ,T,24.45,9999.95,0.01,00,  ,0
00927 ,群益半導體收益  ,T,20.62,22.68,18.56,00,  ,0
00929 ,復華台灣科技優息,T,17.75,19.52,15.98,00,  ,0
00930 ,永豐ESG低碳高息 ,T,17.07,18.77,15.37,00,  ,0
00932 ,兆豐永續高息等權,T,14.19,15.60,12.78,00,  ,0
00934 ,中信成長高股息  ,T,20.54,22.59,18.49,00,  ,0
00935 ,野村臺灣新科技50,T,28.68,31.54,25.82,00,  ,0
00936 ,台新永續高息中小,T,15.64,17.20,14.08,00,  ,0
00938 ,凱基優選30      ,T,16.48,18.12,14.84,00,  ,0
00939 ,統一台灣高息動能,T,14.08,15.48,12.68,00,  ,0
00940 ,元大台灣價值高息,T,9.28,10.20,8.36,00,  ,0
00941 ,中信上游半導體  ,T,16.76,9999.95,0.01,00,  ,0
00943 ,兆豐電子高息等權,T,14.44,15.88,13.00,00,  ,0
00944 ,野村趨勢動能高息,T,14.18,15.59,12.77,00,  ,0
00945B,凱基美國非投等債,T,14.46,9999.95,0.01,00,  ,0
00946 ,群益科技高息成長,T,9.87,10.85,8.89,00,  ,0
00947 ,台新臺灣IC設計  ,T,17.19,18.90,15.48,00,  ,0
00949 ,復華日本龍頭    ,T,18.37,9999.95,0.01,00,  ,0
00951 ,台新日本半導體  ,T,10.79,9999.95,0.01,00,  ,0
