Date,M2_Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,M1_Symbol,M1_Also_Traded,0050_OpenChg%,0050_At915Chg%
20260113,8150,SignalA,StrongGroup,09:29:46,09:35:38,stopLoss,-145161,-1.45%,0h05m52s,記憶體,4,8088,N,1.066,1.066
20260113,6739,SignalA,StrongGroup,09:30:02,09:36:49,takeProfit,80107,0.80%,0h06m47s,設備儀器商,5,6667,N,1.066,1.066
20260114,6127,SignalA,StrongGroup,10:04:51,10:34:25,stopLoss,-132053,-1.32%,0h29m34s,被動元件,1,3624,N,0.354,0.212
20260114,3624,SignalA,StrongGroup,09:41:55,10:37:00,stopLoss,-145138,-1.45%,0h55m05s,被動元件,1,6155,N,0.354,0.212
20260114,2345,SignalA,StrongGroup,09:32:30,10:40:12,stopLoss,-131148,-1.31%,1h07m42s,網路通訊,2,3152,N,0.354,0.212
20260114,3707,SignalA,StrongGroup,11:12:53,13:20:02,timeExit,-120275,-1.20%,2h07m09s,矽晶圓指標,2,6182,N,0.354,0.212
20260115,1605,SignalA,StrongGroup,09:37:17,09:45:32,takeProfit,107399,1.07%,0h08m15s,不鏽鋼,4,2027,N,-0.071,-0.424
20260115,8021,SignalA,StrongGroup,09:39:26,10:05:52,stopLoss,13605,0.14%,0h26m26s,PCB上游,2,1815,N,-0.071,-0.424
20260116,6706,SignalA,StrongGroup,09:29:00,09:33:38,stopLoss,-132231,-1.32%,0h04m38s,CPO,3,,,1.557,1.062
20260116,8271,SignalA,StrongGroup,09:40:07,09:45:13,takeProfit,118577,1.19%,0h05m06s,記憶體,5,,,1.557,1.062
20260119,8271,SignalA,StrongGroup,09:52:29,10:08:14,stopLoss,-179856,-1.80%,0h15m45s,記憶體,1,8110,N,-0.417,-0.625
20260120,8086,SignalA,StrongGroup,09:41:26,09:56:28,takeProfit,85837,0.86%,0h15m02s,砷化鎵,1,2455,N,-0.964,-0.689
20260120,6223,SignalA,StrongGroup,09:58:08,13:20:00,timeExit,115226,1.15%,3h21m52s,探針卡,1,6515,N,-0.964,-0.689
20260121,5347,SignalA,StrongGroup,09:22:22,09:41:05,takeProfit,236486,2.36%,0h18m43s,專業IC代工,1,2303,N,-1.102,-0.826
20260121,5483,SignalA,StrongGroup,09:35:10,10:13:22,stopLoss,48780,0.49%,0h38m12s,矽晶圓指標,1,6182,N,-1.102,-0.826
20260121,2467,SignalA,StrongGroup,09:28:56,10:16:59,stopLoss,-134875,-1.35%,0h48m03s,FOPLP,3,3663,N,-1.102,-0.826
20260121,5347,SignalA,StrongGroup,10:28:49,11:12:57,stopLoss,-165563,-1.66%,0h44m08s,專業IC代工,1,2303,N,-1.102,-0.826
20260121,5371,SignalA,StrongGroup,12:10:55,13:20:00,timeExit,-82051,-0.82%,1h09m05s,軍工,2,7402,N,-1.102,-0.826
20260122,6173,SignalA,StrongGroup,09:21:21,09:41:43,stopLoss,-140127,-1.40%,0h20m22s,被動元件,2,6155,N,1.482,1.482
20260122,6488,SignalA,StrongGroup,10:08:13,10:33:49,stopLoss,-151515,-1.52%,0h25m36s,矽晶圓指標,1,6182,N,1.482,1.482
20260122,2327,SignalA,StrongGroup,09:34:06,13:20:00,timeExit,-13400,-0.13%,3h45m54s,被動元件,1,6173,N,1.482,1.482
20260122,2301,SignalA,StrongGroup,09:25:44,13:20:01,timeExit,126074,1.26%,3h54m17s,電供,2,2308,N,1.482,1.482
20260123,6215,SignalA,StrongGroup,09:29:15,09:32:40,stopLoss,-155642,-1.56%,0h03m25s,機器人,2,6209,N,0.418,0.627
20260126,1301,SignalA,StrongGroup,09:33:22,09:48:09,takeProfit,192102,1.92%,0h14m47s,塑膠,1,1326,N,0.0,0.484
20260127,3037,SignalA,StrongGroup,11:53:19,13:20:00,timeExit,0,0.00%,1h26m41s,ABF,1,3189,N,0.208,0.277
20260129,6706,SignalA,StrongGroup,09:21:22,09:23:37,stopLoss,-202429,-2.02%,0h02m15s,CPO,1,3701,N,0.27,0.135
20260130,8096,SignalA,StrongGroup,09:23:48,09:39:38,stopLoss,-159574,-1.60%,0h15m50s,記憶體,1,,,-0.814,-1.356
20260130,3037,SignalA,StrongGroup,09:44:39,10:11:07,takeProfit,127660,1.28%,0h26m28s,ABF,2,,,-0.814,-1.356
20260202,6409,SignalA,StrongGroup,09:21:56,10:36:56,takeProfit,68571,0.69%,1h15m00s,太陽能,3,6443,N,-1.446,-1.86
20260202,3533,SignalA,StrongGroup,10:02:21,11:40:21,stopLoss,-168350,-1.68%,1h38m00s,連接器,5,3605,N,-1.446,-1.86
20260202,3653,SignalA,StrongGroup,12:22:12,13:20:38,timeExit,85324,0.85%,0h58m26s,散熱,3,3324,Y,-1.446,-1.86
20260203,6443,SignalA,StrongGroup,09:20:59,10:00:00,stopLoss,-11587,-0.12%,0h39m01s,低軌衛星,1,6285,N,2.098,2.028
20260203,1815,SignalA,StrongGroup,10:19:32,10:35:01,stopLoss,-138889,-1.39%,0h15m29s,玻纖布,2,1802,N,2.098,2.028
20260203,6510,SignalA,StrongGroup,10:45:58,13:22:06,timeExit,145357,1.45%,2h36m08s,探針卡,1,6223,N,2.098,2.028
20260204,6116,SignalA,StrongGroup,09:24:01,09:36:44,stopLoss,-144928,-1.45%,0h12m43s,TFT 面板,1,3481,N,-0.754,-0.548
20260204,3019,SignalA,StrongGroup,09:41:28,09:45:52,stopLoss,-152439,-1.52%,0h04m24s,機器人,5,2049,N,-0.754,-0.548
20260204,4526,SignalA,StrongGroup,10:37:43,10:38:20,takeProfit,120846,1.21%,0h00m37s,工具機,3,2049,Y,-0.754,-0.548
20260204,6869,SignalA,StrongGroup,09:46:39,11:14:59,stopLoss,-181818,-1.82%,1h28m20s,太陽能,1,6443,N,-0.754,-0.548
20260205,8074,SignalA,StrongGroup,09:24:08,09:33:41,stopLoss,-148368,-1.48%,0h09m33s,PCB上游,1,5498,N,-1.166,-1.097
20260211,4722,SignalA,StrongGroup,09:23:13,09:25:03,stopLoss,-144092,-1.44%,0h01m50s,電子化工材料,5,3663,N,0.53,1.06
20260211,5340,SignalA,StrongGroup,09:28:36,09:38:04,stopLoss,-135323,-1.35%,0h09m28s,玻纖布,1,1815,N,0.53,1.06
20260211,6753,SignalA,StrongGroup,10:02:25,10:26:25,stopLoss,-170068,-1.70%,0h24m00s,軍工,5,8033,N,0.53,1.06
20260211,1326,SignalA,StrongGroup,09:41:02,13:20:00,timeExit,9401,0.09%,3h38m58s,塑膠,2,1303,N,0.53,1.06
20260223,2645,SignalA,StrongGroup,09:28:57,09:33:40,stopLoss,-142045,-1.42%,0h04m43s,軍工,3,8033,N,1.619,0.972
20260223,8074,SignalA,StrongGroup,09:38:05,13:20:21,timeExit,-45662,-0.46%,3h42m16s,鑽孔,1,8021,N,1.619,0.972
20260224,2455,SignalA,StrongGroup,09:28:16,09:34:12,takeProfit,103896,1.04%,0h05m56s,砷化鎵,1,8086,N,0.711,0.775
20260224,8074,SignalA,StrongGroup,09:38:14,09:50:56,takeProfit,58224,0.58%,0h12m42s,PCB上游,1,8358,Y,0.711,0.775
20260224,6443,SignalA,StrongGroup,09:28:02,10:24:25,stopLoss,-155689,-1.56%,0h56m23s,太陽能,1,2406,Y,0.711,0.775
20260224,2455,SignalA,StrongGroup,10:38:38,12:55:59,takeProfit,230769,2.31%,2h17m21s,砷化鎵,1,8086,N,0.711,0.775
20260224,6213,SignalA,StrongGroup,11:26:09,13:20:00,timeExit,215385,2.15%,1h53m51s,PCB上游,2,5498,N,0.711,0.775
20260225,4768,SignalA,StrongGroup,09:34:47,09:35:31,stopLoss,-138090,-1.38%,0h00m44s,特化,2,4722,Y,1.196,1.385
20260225,8210,SignalA,StrongGroup,09:45:56,10:46:52,takeProfit,11173,0.11%,1h00m56s,機殼,3,2354,N,1.196,1.385
20260225,2317,SignalA,StrongGroup,09:47:06,10:57:25,takeProfit,61983,0.62%,1h10m19s,ODM,3,3231,N,1.196,1.385
20260226,8086,SignalA,StrongGroup,09:22:13,09:24:43,stopLoss,-158730,-1.59%,0h02m30s,砷化鎵,1,3105,N,0.185,-0.123
20260226,8086,SignalA,StrongGroup,09:26:29,09:27:55,stopLoss,-158730,-1.59%,0h01m26s,砷化鎵,1,3105,N,0.185,-0.123
20260226,3131,SignalA,StrongGroup,09:26:25,09:31:54,takeProfit,116279,1.16%,0h05m29s,半導體設備,4,2467,N,0.185,-0.123
20260226,6788,SignalA,StrongGroup,09:42:24,09:47:44,takeProfit,175182,1.75%,0h05m20s,半導體設備,3,3131,N,0.185,-0.123
20260226,6788,SignalA,StrongGroup,12:07:56,13:20:13,timeExit,85470,0.85%,1h12m17s,半導體設備,2,3131,N,0.185,-0.123
20260303,6706,SignalA,StrongGroup,09:20:03,09:27:01,stopLoss,-141844,-1.42%,0h06m58s,CPO,2,3450,N,-0.373,-0.187
20260303,2615,SignalA,StrongGroup,09:31:27,10:05:47,stopLoss,-83333,-0.83%,0h34m20s,海運,2,2609,Y,-0.373,-0.187
20260303,2615,SignalA,StrongGroup,10:14:00,11:36:45,takeProfit,106888,1.07%,1h22m45s,海運,1,2609,Y,-0.373,-0.187
